season,team,odds_preseason_first,odds_preseason_last,champion
2016-17,Golden State Warriors,215,-128,1
2016-17,Cleveland Cavaliers,280,385,0
2016-17,San Antonio Spurs,525,925,0
2016-17,Boston Celtics,1250,2900,0
2016-17,Houston Rockets,5000,16000,0
2016-17,Washington Wizards,6500,16000,0
2016-17,Toronto Raptors,2500,5500,0
2016-17,Utah Jazz,4500,10000,0
2016-17,Los Angeles Clippers,950,3500,0
2016-17,Oklahoma City Thunder,600,6000,0
2016-17,Atlanta Hawks,3300,10000,0
2016-17,Memphis Grizzlies,6500,8800,0
2016-17,Milwaukee Bucks,12500,18000,0
2016-17,Portland Trail Blazers,7500,13000,0
2016-17,Chicago Bulls,4000,9000,0
2016-17,Indiana Pacers,7500,8000,0
2016-17,Miami Heat,1200,17500,0
2016-17,Denver Nuggets,25000,50000,0
2016-17,Detroit Pistons,7500,14000,0
2016-17,Charlotte Hornets,10000,55000,0
2016-17,New Orleans Pelicans,6500,14500,0
2016-17,New York Knicks,4000,7500,0
2016-17,Minnesota Timberwolves,4500,10000,0
2016-17,Dallas Mavericks,10000,39000,0
2016-17,Sacramento Kings,25000,50000,0
2016-17,Philadelphia 76ers,50000,50000,0
2016-17,Los Angeles Lakers,10000,39000,0
2016-17,Orlando Magic,15000,22500,0
2016-17,Phoenix Suns,50000,85000,0
2016-17,Brooklyn Nets,50000,135000,0
2017-18,Golden State Warriors,-168,-187,1
2017-18,Cleveland Cavaliers,335,515,0
2017-18,Houston Rockets,3300,2150,0
2017-18,Boston Celtics,1350,1200,0
2017-18,Toronto Raptors,6600,15000,0
2017-18,Philadelphia 76ers,12500,19000,0
2017-18,Utah Jazz,15000,25000,0
2017-18,New Orleans Pelicans,8000,22000,0
2017-18,Oklahoma City Thunder,7500,2150,0
2017-18,Portland Trail Blazers,15000,31500,0
2017-18,San Antonio Spurs,1250,1800,0
2017-18,Washington Wizards,5000,9000,0
2017-18,Minnesota Timberwolves,15000,5000,0
2017-18,Milwaukee Bucks,6600,8000,0
2017-18,Indiana Pacers,15000,125000,0
2017-18,Miami Heat,12500,24000,0
2017-18,Los Angeles Clippers,5000,19000,0
2017-18,Denver Nuggets,12500,20000,0
2017-18,Detroit Pistons,30000,63000,0
2017-18,Charlotte Hornets,40000,50000,0
2017-18,New York Knicks,30000,100000,0
2017-18,Los Angeles Lakers,20000,30000,0
2017-18,Memphis Grizzlies,12500,37000,0
2017-18,Chicago Bulls,15000,250000,0
2017-18,Orlando Magic,100000,250000,0
2017-18,Dallas Mavericks,25000,50000,0
2017-18,Atlanta Hawks,30000,200000,0
2017-18,Brooklyn Nets,100000,250000,0
2017-18,Sacramento Kings,100000,125000,0
2017-18,Phoenix Suns,75000,125000,0
2018-19,Toronto Raptors,6600,1850,1
2018-19,Golden State Warriors,125,-168,0
2018-19,Milwaukee Bucks,8500,10000,0
2018-19,Portland Trail Blazers,10000,30000,0
2018-19,Houston Rockets,375,1000,0
2018-19,Boston Celtics,600,620,0
2018-19,Philadelphia 76ers,650,2000,0
2018-19,Denver Nuggets,10000,20000,0
2018-19,Oklahoma City Thunder,8000,3800,0
2018-19,Utah Jazz,7500,10000,0
2018-19,San Antonio Spurs,2300,10000,0
2018-19,Los Angeles Clippers,12500,40000,0
2018-19,Indiana Pacers,10000,12500,0
2018-19,Orlando Magic,50000,75000,0
2018-19,Detroit Pistons,30000,35000,0
2018-19,Brooklyn Nets,50000,125000,0
2018-19,Miami Heat,6600,35000,0
2018-19,Charlotte Hornets,50000,50000,0
2018-19,Los Angeles Lakers,1000,1800,0
2018-19,Sacramento Kings,50000,200000,0
2018-19,Minnesota Timberwolves,8000,25000,0
2018-19,New Orleans Pelicans,10000,10000,0
2018-19,Dallas Mavericks,50000,35000,0
2018-19,Washington Wizards,10000,11000,0
2018-19,Memphis Grizzlies,50000,65000,0
2018-19,New York Knicks,50000,35000,0
2018-19,Chicago Bulls,50000,50000,0
2018-19,Cleveland Cavaliers,3500,50000,0
2018-19,Phoenix Suns,50000,75000,0
2018-19,Atlanta Hawks,50000,150000,0
2019-20,Los Angeles Lakers,1800,450,1
2019-20,Miami Heat,35000,6000,0
